body,source
"Knowledge is not wisdom, unless used wisely.",J.D. Anderson
"The fool doth think he is wise, but the wise man knows himself to be a fool",William Shakespeare
Get happiness out of your work or you may never know what happiness is.,Elbert Hubbard
"Even a happy life cannot be without a measure of darkness, and the word happy would lose its meaning if it were not balanced by sadness.",Carl Jung
Happiness is not a destination. It is a method of life.,Burton Hills
Start off every day with a smile and get it over with.,W.C. Fields
"Think of all the beauty that’s still left in and around you, and be happy.",Anne Frank
You will never be happy if you continue to search for what happiness consists of.,Albert Camus
Happiness depends upon ourselves.,Aristotle
Success is getting what you want. Happiness is wanting what you get.,Dale Carnegie
"It isn’t what you have, or who you are, or where you are, or what you are doing that makes you happy or unhappy. It is what you think about.",Dale Carnegie
Don’t cry because it’s over. Smile because it happened.,Dr. Seuss
"Remember that happiness is a way of travel, not a destination.",Roy Goodman
"Don’t measure yourself by what you have accomplished, but by what you should have accomplished with your ability.",John Wooden
Do not let what you cannot do interfere with what you can do.,John Wooden
The way to get started is to quit talking and begin doing.,Walt Disney
Don’t let yesterday take up too much of today,Will Rogers
You learn more from failure than from success. Don’t let it stop you. Failure builds character.,Unknown
"It’s not whether you get knocked down, it’s whether you get up.",Vince Lombardi
We may encounter many defeats but we most not be defeated.,Maya Angelou
Imagine your life is perfect in every respect, what would it look like?
We generate fears while we sit. We overcome them by action.,Dr. Henry Link
"Whether you think you can or think you can’t, you’re right.",Henry Ford
"What you lack in talent can be made up with desire, hustle, and giving 110% all the time.",Don Zimmer
"For every reason it’s not possible, there are hundreds of people who have faced the same circumstances and succeeded.",Jack Canfield
Things work out best for those who make the best of how things work out.,John Wooden
Inches make champions.,Vince Lombardi
"If you can accept losing, you can’t win. ",Vince Lombardi
"The difference between a successful person and others is not a lack of strength, not a lack of knowledge, but rather in a lack of will.",Vince Lombardi
"If you’ll not settle for anything less than your best, you will be amazed at what you can accomplish in your lives.",Vince Lombardi
"Winning is not everything, but making the effort to win is.",Vince Lombardi
Nothing will work unless you do.,John Wooden
Success comes from knowing that you did your best to become the best that you are capable of becoming.,John Wooden
Failing to prepare is preparing to fail.,John Wooden
Today’s accomplishments were yesterday’s impossibilities.,Robert H. Schuller
"You don’t have to be great to start, but you have to start to be great.",Zig Ziglar
"There are no limits to what you can accomplish, except the limits you place on your own thinking.",Brian Tracy
Act as if what you do makes a difference. It does.,William James
"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston Churchill
Believe you can and you’re halfway there.,Theodore Roosevelt
"I can’t change the direction of the wind, but I can adjust my sails to always reach my destination.",Jimmy Dean
"Life is like riding a bicycle. To keep your balance, you must keep moving.",Albert Einstein
You do not find the happy life. You make it.,Camilla Eyring Kimball
"Inspiration comes from within yourself. One has to be positive. When you’re positive, good things happen.",Deep Roy
It isn’t where you came from. It’s where you’re going that counts.,Ella Fitzgerald
You must do the things you think you cannot do.,Eleanor Roosevelt
"Happiness is not by chance, but by choice.",Jim Rohn
Be the change that you wish to see in the world.,Mahatma Gandhi
"If I cannot do great things, I can do small things in a great way.",Martin Luther King Jr.
Don’t wait. The time will never be just right.,Napoleon Hill
A champion is defined not by their wins but by how they can recover when they fall.,Serena Williams
"Keep your face always toward the sunshine, and shadows will fall behind you.",Walt Whitman
"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.",Rabindranath Tagore
Change your thoughts and you change your world.,Norman Vincent Peale
"What lies behind us, and what lies before us, are tiny matters compared to what lies within us.",Ralph Waldo Emerson
"I hated every minute of training, but I said, “Don’t quit. Suffer now and live the rest of your life as a champion.”",Muhammad Ali
It is during our darkest moments that we must focus to see the light.,Aristotle
Someone is sitting in the shade today because someone planted a tree a long time ago.,Warren Buffett
