quote_id,tag_id
1,17
2,17
3,8
4,8
5,8
5,3
6,8
6,3
7,8
7,3
8,8
8,3
9,8
9,3
10,8
10,15
10,3
11,8
11,3
12,8
12,3
13,8
13,3
14,15
14,14
14,10
15,10
15,14
15,2
15,7
16,10
17,10
17,6
18,10
18,6
19,10
19,6
19,2
19,14
20,10
20,6
20,2
21,10
21,3
22,7
22,10
22,2
23,16
23,3
24,10
24,5
24,12
25,10
25,15
25,7
25,3
26,8
26,3
27,15
27,10
27,12
27,14
28,14
28,15
28,3
29,15
29,10
29,14
29,12
29,5
30,5
30,12
30,10
30,14
31,10
31,14
31,15
31,5
32,5
32,10
32,14
32,15
32,12
33,15
33,14
34,6
34,15
34,10
34,14
35,10
35,15
36,10
36,15
36,12
36,5
37,10
37,15
37,3
38,3
38,16
39,15
39,6
39,10
39,12
39,5
40,3
40,16
40,10
41,3
41,11
7,11
42,10
42,11
42,12
42,3
43,3
43,8
44,16
44,11
45,3
45,10
46,12
46,10
46,5
47,8
47,3
48,10
48,16
48,1
49,10
49,3
50,1
50,10
50,7
51,10
51,5
51,2
51,14
52,3
52,10
53,3
54,3
54,16
55,10
55,2
55,13
56,12
56,10
56,14
56,5
57,3
57,10
57,11
58,10
58,3
59,10
59,12
59,5
59,16
60,10
60,14
60,12
60,5
61,10
61,3
62,10
62,7
62,3
63,10
63,2
64,14
64,2
64,3
64,10
65,10
65,2
66,10
66,3
66,17
67,9
67,3
67,17
68,16
69,2
69,3
69,5
69,12
70,16
70,3
71,16
71,3
72,11
73,2
73,10
73,17
74,3
75,10
75,4
76,10
76,3
77,15
77,3
77,11
77,12
78,12
78,5
78,10
79,3
79,4
79,12
80,3
81,10
81,5
81,12
